title,genres,year,clean_title,source
Teen Patti,"dramas, international movies, thrillers",2010,teen patti,Netflix
Teenage Cocktail,"dramas, independent movies, lgbtq movies",2016,teenage cocktail,Netflix
Teenage Mutant Ninja Turtles,"children & family movies, comedies",2007,teenage mutant ninja turtles,Netflix
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"children & family movies, comedies",1991,teenage mutant ninja turtles ii the secret of the ooze,Netflix
Teenage Mutant Ninja Turtles: The Movie,"action & adventure, comedies",1990,teenage mutant ninja turtles the movie,Netflix
Tees Maar Khan,"comedies, international movies, music & musicals",2010,tees maar khan,Netflix
Tellur Aliens,children & family movies,2016,tellur aliens,Netflix
Temporada de Caza,"dramas, international movies",2017,temporada de caza,Netflix
Ten Years,"dramas, independent movies, international movies",2015,ten years,Netflix
Teresa,"international tv shows, romantic tv shows, spanish-language tv shows",2010,teresa,Netflix
Terminator 3: Rise of the Machines,"action & adventure, sci-fi & fantasy",2003,terminator 3 rise of the machines,Netflix
Terminator Salvation,"action & adventure, sci-fi & fantasy",2009,terminator salvation,Netflix
Terra,"documentaries, international movies",2015,terra,Netflix
Terrifier,"horror movies, independent movies, thrillers",2017,terrifier,Netflix
Teshan,"comedies, international movies, romantic movies",2016,teshan,Netflix
Tezz,"action & adventure, international movies, music & musicals",2012,tezz,Netflix
Th Eena Meena Deeka Chase Comedy Show,"kids' tv, tv comedies",2015,th eena meena deeka chase comedy show,Netflix
Thackeray,tv shows,2019,thackeray,Netflix
That '70s Show,tv comedies,2005,that 70s show,Netflix
The 2000s,docuseries,2018,the 2000s,Netflix
The 24 Hour War,"documentaries, sports movies",2016,the 24 hour war,Netflix
The 4th Company,"action & adventure, dramas, international movies",2016,the 4th company,Netflix
The Accountant of Auschwitz,"documentaries, international movies",2018,the accountant of auschwitz,Netflix
The Adderall Diaries,"dramas, thrillers",2015,the adderall diaries,Netflix
The Adjusters,"international tv shows, tv dramas",2010,the adjusters,Netflix
The Adventure Club,children & family movies,2016,the adventure club,Netflix
The Adventures of Figaro Pho,"kids' tv, tv comedies",2015,the adventures of figaro pho,Netflix
The Adventures of Sharkboy and Lavagirl,children & family movies,2005,the adventures of sharkboy and lavagirl,Netflix
The Adventures of Tintin,children & family movies,2011,the adventures of tintin,Netflix
The Aerial,"dramas, international movies, sci-fi & fantasy",2007,the aerial,Netflix
The Age of Shadows,"action & adventure, dramas, international movies",2016,the age of shadows,Netflix
The American President,"comedies, dramas, romantic movies",1995,the american president,Netflix
The Amityville Horror,horror movies,2005,the amityville horror,Netflix
The Andy Griffith Show,"classic & cult tv, tv comedies",1967,the andy griffith show,Netflix
The Angry Birds Movie 2,"children & family movies, comedies",2019,the angry birds movie 2,Netflix
The Animal People,documentaries,2019,the animal people,Netflix
The Ant's Scream,"comedies, dramas, international movies",2010,the ants scream,Netflix
The Apartment,"international tv shows, reality tv",2014,the apartment,Netflix
The Apostate,"comedies, dramas, international movies",2015,the apostate,Netflix
The Art of the Steal,"action & adventure, comedies, independent movies",2013,the art of the steal,Netflix
The Art of War,action & adventure,2000,the art of war,Netflix
The Assignment,action & adventure,2016,the assignment,Netflix
The Autopsy of Jane Doe,"horror movies, independent movies, thrillers",2016,the autopsy of jane doe,Netflix
The Bachelor,"reality tv, romantic tv shows",2009,the bachelor,Netflix
The Bachelors,dramas,2017,the bachelors,Netflix
The Bad Education Movie,comedies,2015,the bad education movie,Netflix
The Bad Kids,documentaries,2016,the bad kids,Netflix
The Bare-Footed Kid,"action & adventure, international movies",1993,the barefooted kid,Netflix
The Basement,"horror movies, thrillers",2018,the basement,Netflix
The Battle of Midway,"classic movies, documentaries",1942,the battle of midway,Netflix
The Beat,"international tv shows, tv dramas",2012,the beat,Netflix
The Beginning of Life: The Series,"docuseries, international tv shows, science & nature tv",2016,the beginning of life the series,Netflix
The Bible's Buried Secrets,"british tv shows, docuseries, science & nature tv",2011,the bibles buried secrets,Netflix
The Big Catch,"british tv shows, reality tv",2015,the big catch,Netflix
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,documentaries,2018,the bill murray stories life lessons learned from a mythical man,Netflix
The Black Room,horror movies,2016,the black room,Netflix
The Blackcoat's Daughter,"horror movies, independent movies, thrillers",2015,the blackcoats daughter,Netflix
The Bleeder,"dramas, sports movies",2016,the bleeder,Netflix
The Blue Planet: A Natural History of the Oceans,"british tv shows, docuseries, international tv shows",2001,the blue planet a natural history of the oceans,Netflix
The Bomb,documentaries,2016,the bomb,Netflix
The Bomb Squad,"british tv shows, docuseries",2011,the bomb squad,Netflix
The Book of Eli,"action & adventure, sci-fi & fantasy",2010,the book of eli,Netflix
The Boss's Daughter,"dramas, international movies, romantic movies",2015,the bosss daughter,Netflix
The Bounty Hunter,"action & adventure, comedies, romantic movies",2010,the bounty hunter,Netflix
The Box,"sci-fi & fantasy, thrillers",2009,the box,Netflix
The Boy,"horror movies, independent movies, thrillers",2016,the boy,Netflix
The Boy in the Striped Pajamas,"dramas, independent movies, international movies",2008,the boy in the striped pajamas,Netflix
The Brave One,"dramas, thrillers",2007,the brave one,Netflix
The Brawler,"dramas, independent movies, sports movies",2019,the brawler,Netflix
The Breadwinner,"children & family movies, dramas, international movies",2017,the breadwinner,Netflix
The Break-Up,"comedies, dramas, romantic movies",2006,the breakup,Netflix
The Bridge,"dramas, international movies, romantic movies",2017,the bridge,Netflix
The Brothers Grimm,"action & adventure, sci-fi & fantasy",2005,the brothers grimm,Netflix
The Bucket List,"comedies, dramas",2007,the bucket list,Netflix
The Bulbul's Nest,"comedies, international movies",2013,the bulbuls nest,Netflix
The Bund,"action & adventure, dramas, international movies",1983,the bund,Netflix
The Bye Bye Man,"horror movies, thrillers",2017,the bye bye man,Netflix
The Bygone,"independent movies, thrillers",2019,the bygone,Netflix
The Cakemaker,"dramas, independent movies, international movies",2017,the cakemaker,Netflix
The Calling,"international tv shows, reality tv",2018,the calling,Netflix
The Captive,"dramas, thrillers",2014,the captive,Netflix
The Car,"cult movies, horror movies",1977,the car,Netflix
The Carter Effect,"documentaries, sports movies",2017,the carter effect,Netflix
The Case for Christ,"dramas, faith & spirituality",2017,the case for christ,Netflix
The Cell,"action & adventure, dramas, international movies",2017,the cell,Netflix
The CEO,"dramas, international movies, thrillers",2016,the ceo,Netflix
The Charnel House,"horror movies, thrillers",2016,the charnel house,Netflix
The Chefs' Line,"international tv shows, reality tv",2017,the chefs line,Netflix
The Chord,"dramas, international movies, music & musicals",2010,the chord,Netflix
The Chosen,"dramas, international movies, thrillers",2016,the chosen,Netflix
The Chosen Ones,"dramas, independent movies, international movies",2015,the chosen ones,Netflix
The Christmas Candle,"dramas, faith & spirituality",2013,the christmas candle,Netflix
The Christmas Project,"children & family movies, comedies",2016,the christmas project,Netflix
The Cincinnati Kid,"classic movies, dramas",1965,the cincinnati kid,Netflix
The Code,"british tv shows, docuseries, international tv shows",2011,the code,Netflix
The Company Men,"dramas, independent movies",2010,the company men,Netflix
The Competition,"comedies, romantic movies",2018,the competition,Netflix
The Confirmation,"comedies, dramas, independent movies",2016,the confirmation,Netflix
The Congress,"dramas, international movies, sci-fi & fantasy",2013,the congress,Netflix
The Consul's Son,"comedies, international movies, thrillers",2011,the consuls son,Netflix
The Craft,"horror movies, thrillers",1996,the craft,Netflix
The Cravings,"international tv shows, korean tv shows, tv comedies",2016,the cravings,Netflix
The Croods,"children & family movies, comedies",2013,the croods,Netflix
The Crow,"action & adventure, cult movies, sci-fi & fantasy",1994,the crow,Netflix
The Cruise,"comedies, cult movies, international movies",1970,the cruise,Netflix
The Crying Game,"classic movies, independent movies, thrillers",1992,the crying game,Netflix
The Curse of Oak Island,"docuseries, science & nature tv",2016,the curse of oak island,Netflix
The D Train,comedies,2015,the d train,Netflix
The Damned Rain,"dramas, international movies",2009,the damned rain,Netflix
The Dancer,"dramas, international movies, romantic movies",2011,the dancer,Netflix
The Dark Crystal,children & family movies,1982,the dark crystal,Netflix
The Dark Side of Life: Mumbai City,"dramas, international movies",2018,the dark side of life mumbai city,Netflix
The Darkest Dawn,"action & adventure, independent movies, international movies",2016,the darkest dawn,Netflix
The Daughter,dramas,2015,the daughter,Netflix
The Dawn Wall,"documentaries, sports movies",2017,the dawn wall,Netflix
The Day My Butt Went Psycho!,"kids' tv, tv comedies",2015,the day my butt went psycho,Netflix
The Desert Bride,"dramas, international movies",2017,the desert bride,Netflix
The Detained,"horror movies, thrillers",2017,the detained,Netflix
The Devil and Father Amorth,"documentaries, horror movies",2017,the devil and father amorth,Netflix
The Devil Inside,"horror movies, thrillers",2012,the devil inside,Netflix
The Devil Is a Part-Timer!,anime series,2013,the devil is a parttimer,Netflix
The Devil We Know,documentaries,2018,the devil we know,Netflix
The Diabolical,"horror movies, sci-fi & fantasy, thrillers",2015,the diabolical,Netflix
The Dreamer,"dramas, international movies",2009,the dreamer,Netflix
The Drowning,thrillers,2016,the drowning,Netflix
The Drunk and on Drugs Happy Funtime Hour,"international tv shows, tv comedies",2011,the drunk and on drugs happy funtime hour,Netflix
The Duel,dramas,2016,the duel,Netflix
The Dukes of Hazzard,"action & adventure, comedies",2005,the dukes of hazzard,Netflix
The Dukes of Hazzard: The Beginning,"action & adventure, comedies",2007,the dukes of hazzard the beginning,Netflix
The Eichmann Show,"dramas, international movies",2015,the eichmann show,Netflix
The Eighties,docuseries,2016,the eighties,Netflix
The End of the Tour,"dramas, independent movies",2015,the end of the tour,Netflix
The Endless,"independent movies, sci-fi & fantasy, thrillers",2017,the endless,Netflix
The Evil Dead,"classic movies, cult movies, horror movies",1981,the evil dead,Netflix
The Exception,"dramas, romantic movies",2016,the exception,Netflix
The Eyes of My Mother,"horror movies, independent movies",2016,the eyes of my mother,Netflix
The Fear,"british tv shows, crime tv shows, tv dramas",2012,the fear,Netflix
The Fear of 13,"documentaries, international movies",2015,the fear of 13,Netflix
The Feels,"comedies, independent movies, lgbtq movies",2018,the feels,Netflix
The Fighter,"dramas, sports movies",2010,the fighter,Netflix
The Figurine (Araromire),"horror movies, international movies, thrillers",2009,the figurine araromire,Netflix
The Final Destination,horror movies,2009,the final destination,Netflix
The First Line,"dramas, independent movies",2014,the first line,Netflix
The First Temptation of Christ,"comedies, international movies",2019,the first temptation of christ,Netflix
The First Wives Club,comedies,1996,the first wives club,Netflix
The Five,"british tv shows, crime tv shows, tv dramas",2016,the five,Netflix
The Five Venoms,"action & adventure, cult movies, international movies",1978,the five venoms,Netflix
The Flintstones,"children & family movies, comedies",1994,the flintstones,Netflix
The Flintstones in Viva Rock Vegas,"children & family movies, comedies, romantic movies",2000,the flintstones in viva rock vegas,Netflix
The Flying Guillotine,"action & adventure, dramas, international movies",1975,the flying guillotine,Netflix
The Forbidden Kingdom,"action & adventure, sci-fi & fantasy",2008,the forbidden kingdom,Netflix
The Force,documentaries,2017,the force,Netflix
The Foreigner,"action & adventure, international movies",2017,the foreigner,Netflix
The Forgotten,horror movies,2014,the forgotten,Netflix
The Fosters,tv dramas,2017,the fosters,Netflix
The Founder,dramas,2016,the founder,Netflix
The Free Man,"documentaries, sports movies",2016,the free man,Netflix
The Frozen Ground,"dramas, thrillers",2013,the frozen ground,Netflix
The Furchester Hotel,"british tv shows, kids' tv",2015,the furchester hotel,Netflix
The Future of Water,"docuseries, international tv shows, science & nature tv",2007,the future of water,Netflix
The Gathering,"comedies, dramas, international movies",2003,the gathering,Netflix
The Gentleman Driver,"documentaries, sports movies",2018,the gentleman driver,Netflix
The Ghost Who Walks,"dramas, independent movies, thrillers",2019,the ghost who walks,Netflix
The Girl with the Dragon Tattoo,"dramas, thrillers",2011,the girl with the dragon tattoo,Netflix
